Date,AAPL,MSFT,XOM,BP
2015-01-02,24.373958587646484,40.23283767700195,60.53589630126953,21.491531372070312
2015-01-05,23.68731117248535,39.86287307739258,58.8795166015625,20.35268211364746
2015-01-06,23.689537048339844,39.27779769897461,58.566532135009766,20.200462341308594
2015-01-07,24.021713256835938,39.77682876586914,59.15995407104492,20.251203536987305
2015-01-08,24.944679260253906,40.94699478149414,60.1446533203125,20.707866668701172
2015-01-09,24.971433639526367,40.602821350097656,60.059871673583984,20.623302459716797
2015-01-12,24.356130599975586,40.095191955566406,58.90563201904297,20.324491500854492
2015-01-13,24.572370529174805,39.88869094848633,58.69041442871094,20.27375030517578
2015-01-14,24.478736877441406,39.544532775878906,58.520877838134766,20.110252380371094
2015-01-15,23.814382553100586,39.13152313232422,58.01222610473633,20.144081115722656
2015-01-16,23.629344940185547,39.78543472290039,59.42079162597656,21.344951629638672
2015-01-20,24.237966537475586,39.91449737548828,59.40121841430664,21.249103546142578
2015-01-21,24.42300796508789,39.510101318359375,59.909881591796875,21.88618278503418
2015-01-22,25.058380126953125,40.551204681396484,60.56200408935547,21.976390838623047
2015-01-23,25.18769073486328,40.594234466552734,59.27079772949219,21.931289672851562
2015-01-26,25.214439392089844,40.447959899902344,59.838165283203125,22.50634765625
2015-01-27,24.33159828186035,36.705162048339844,59.3099365234375,22.669851303100586
2015-01-28,25.707136154174805,35.44036865234375,57.35359191894531,21.920011520385742
2015-01-29,26.50748634338379,36.14588928222656,57.1123161315918,21.84671974182129
2015-01-30,26.119571685791016,34.76063919067383,57.007972717285156,21.891822814941406
2015-02-02,26.447298049926758,35.517799377441406,58.41653823852539,22.47252082824707
2015-02-03,26.451753616333008,35.793128967285156,60.157676696777344,23.17160987854004
2015-02-04,26.654624938964844,35.9996337890625,59.642513275146484,22.80514907836914
2015-02-05,26.844871520996094,36.524478912353516,60.22941589355469,23.329477310180664
2015-02-06,26.618820190429688,36.49007034301758,60.11772537231445,23.21108055114746
2015-02-09,26.79562759399414,36.44704818725586,60.15714645385742,23.459144592285156
2015-02-10,27.310415267944336,36.6535530090332,59.7957878112793,23.25617790222168
2015-02-11,27.950544357299805,36.46425247192383,59.526424407958984,23.08454704284668
2015-02-12,28.304174423217773,37.07515335083008,60.6893310546875,23.650938034057617
2015-02-13,28.442947387695312,37.74626541137695,61.346370697021484,23.988481521606445
2015-02-17,28.610809326171875,37.76359558105469,61.1361083984375,23.902664184570312
2015-02-18,28.81000328063965,37.72026824951172,59.7957878112793,23.885498046875
2015-02-19,28.74957275390625,37.69427490234375,58.764286041259766,23.56511878967285
2015-02-20,28.98458480834961,38.0062255859375,59.07961654663086,23.616605758666992
2015-02-23,29.7679500579834,38.25752639770508,58.48173141479492,23.58228874206543
2015-02-24,29.582181930541992,38.20553207397461,58.751094818115234,23.793970108032227
2015-02-25,28.8256778717041,38.11887741088867,58.86936950683594,23.977035522460938
2015-02-26,29.190500259399414,38.17952346801758,58.245208740234375,23.66238021850586
2015-02-27,28.751819610595703,37.99755096435547,58.17292785644531,23.708147048950195
2015-03-02,28.89281463623047,38.02355194091797,57.84440994262695,23.6280517578125
2015-03-03,28.953250885009766,37.503631591796875,57.56846237182617,23.879783630371094
2015-03-04,28.769718170166016,37.312992095947266,57.27937316894531,23.759626388549805
2015-03-05,28.292984008789062,37.35631561279297,56.99027633666992,23.55939483642578
2015-03-06,28.335508346557617,36.70642852783203,56.26096725463867,23.08454704284668
2015-03-09,28.456375122070312,37.13103103637695,55.95219421386719,23.044498443603516
2015-03-10,27.86773109436035,36.42047119140625,55.36085891723633,22.3350887298584
2015-03-11,27.359657287597656,36.37713623046875,55.20317840576172,21.871671676635742
2015-03-12,27.854297637939453,35.545265197753906,55.33460235595703,21.831634521484375
2015-03-13,27.66181182861328,35.85722732543945,55.1046142578125,21.511259078979492
2015-03-16,27.966211318969727,36.0131950378418,55.68937683105469,21.482643127441406
2015-03-17,28.433988571166992,36.134517669677734,55.24260330200195,21.637115478515625
2015-03-18,28.754056930541992,36.827735900878906,56.55006790161133,22.512439727783203
2015-03-19,28.53695297241211,36.6457633972168,55.45941925048828,22.295042037963867
2015-03-20,28.1788387298584,37.15702819824219,55.544822692871094,22.9415283203125
2015-03-23,28.472042083740234,37.139705657958984,56.12957763671875,22.964406967163086
2015-03-24,28.355661392211914,37.17435073852539,55.53168487548828,22.603979110717773
2015-03-25,27.61481475830078,35.92655944824219,55.75507354736328,22.890031814575195
2015-03-26,27.807296752929688,35.70991516113281,55.40028381347656,22.775615692138672
2015-03-27,27.585712432861328,35.50193786621094,54.91407775878906,22.661190032958984
2015-03-30,28.284032821655273,35.49327087402344,56.26096725463867,22.792776107788086
2015-03-31,27.849821090698242,35.233314514160156,55.84705352783203,22.375139236450195
2015-04-01,27.80953598022461,35.285308837890625,55.49226760864258,22.598257064819336
2015-04-02,28.049022674560547,34.912696838378906,55.38714599609375,22.68407440185547
2015-04-06,28.503379821777344,36.004520416259766,55.932464599609375,22.95868682861328
2015-04-07,28.203458786010742,35.98719024658203,56.33984375,23.027341842651367
2015-04-08,28.111690521240234,35.891868591308594,55.229461669921875,23.324838638305664
2015-04-09,28.326560974121094,35.943870544433594,55.617103576660156,23.656660079956055
2015-04-10,28.447420120239258,36.1518440246582,56.21501159667969,23.765361785888672
2015-04-13,28.391468048095703,36.18649673461914,56.07044219970703,23.588003158569336
2015-04-14,28.26836585998535,36.0911865234375,56.91800308227539,23.914108276367188
2015-04-15,28.375797271728516,36.61975860595703,57.870704650878906,24.268810272216797
